time,P
2022-04-27 15:23:56.1330,105999.39
2022-04-27 15:23:57.1050,104342.96
2022-04-27 15:23:58.0760,103652.84
2022-04-27 15:23:59.0470,103652.84
2022-04-27 15:24:00.0220,104853.23
2022-04-27 15:24:00.9890,106841.12
2022-04-27 15:24:01.9610,108912.29
2022-04-27 15:24:02.9330,109035.9
2022-04-27 15:24:03.9060,109035.9
2022-04-27 15:24:04.8760,106884.91
2022-04-27 15:24:05.8490,104893.68
2022-04-27 15:24:06.8220,102836.05
2022-04-27 15:24:07.7940,102068.1
2022-04-27 15:24:08.7650,102068.1
2022-04-27 15:24:09.7380,104054.52
2022-04-27 15:24:10.7100,106260.88
2022-04-27 15:24:11.6820,108406.37
2022-04-27 15:24:12.6530,108509.99
2022-04-27 15:24:13.6260,108509.99
2022-04-27 15:24:14.5970,106577.74
2022-04-27 15:24:15.5680,104380.84
2022-04-27 15:24:16.5400,102205.28
2022-04-27 15:24:17.5120,100375.29
2022-04-27 15:24:18.4880,99969.05
2022-04-27 15:24:19.4550,99969.05
2022-04-27 15:24:20.4290,99973.55
2022-04-27 15:24:21.4040,99977.8
2022-04-27 15:24:22.3740,99977.8
2022-04-27 15:24:23.3450,99974.42
2022-04-27 15:24:24.3170,99971.57
2022-04-27 15:24:25.2880,99961.04
2022-04-27 15:24:26.2590,99954.57
2022-04-27 15:24:27.2310,99954.38
2022-04-27 15:24:28.2030,99954.28
2022-04-27 15:24:29.1760,99954.38
2022-04-27 15:24:30.1450,101022.99
2022-04-27 15:24:31.1190,103065.36
2022-04-27 15:24:32.0880,105198.43
2022-04-27 15:24:33.0610,107322.53
2022-04-27 15:24:34.0350,109382.51
2022-04-27 15:24:35.0050,110602.68
2022-04-27 15:24:35.9740,110602.68
2022-04-27 15:24:36.9470,110520.62
2022-04-27 15:24:37.9180,109845.03
2022-04-27 15:24:38.8890,108433.78
2022-04-27 15:24:39.8620,106431.18
2022-04-27 15:24:40.8320,104317.92
2022-04-27 15:24:41.8030,102347.53
2022-04-27 15:24:42.7750,100820.82
2022-04-27 15:24:43.7500,100061.24
2022-04-27 15:24:44.7180,99959.64
2022-04-27 15:24:45.6890,99956.32
2022-04-27 15:24:46.6650,99953.33
2022-04-27 15:24:47.6310,99951.13
2022-04-27 15:24:48.6030,99951.13
2022-04-27 15:24:49.5740,100243.4
2022-04-27 15:24:50.5450,101631.03
2022-04-27 15:24:51.5180,103694.16
2022-04-27 15:24:52.4880,106067.53
2022-04-27 15:24:53.4570,108429.3
2022-04-27 15:24:54.4280,110578.93
2022-04-27 15:24:55.3980,111538.07
2022-04-27 15:24:56.3700,111538.07
2022-04-27 15:24:57.3400,111339.95
2022-04-27 15:24:58.3110,109019.74
2022-04-27 15:24:59.2810,106694.71
2022-04-27 15:25:00.2510,104419.14
2022-04-27 15:25:01.2230,102176.73
2022-04-27 15:25:02.1930,100119.87
2022-04-27 15:25:03.1630,99957.44
2022-04-27 15:25:04.1350,99957.44
2022-04-27 15:25:05.1010,100023.62
2022-04-27 15:25:06.0730,100352.23
2022-04-27 15:25:07.0430,101190.44
2022-04-27 15:25:08.0150,102543.12
2022-04-27 15:25:08.9830,104221.27
2022-04-27 15:25:09.9530,106062.94
2022-04-27 15:25:10.9230,107744.19
2022-04-27 15:25:11.8940,108939.22
2022-04-27 15:25:12.8640,109682.49
2022-04-27 15:25:13.8330,110005.69
2022-04-27 15:25:14.8090,110206.07
2022-04-27 15:25:15.7740,110343.92
2022-04-27 15:25:16.7460,110434.24
2022-04-27 15:25:17.7140,110454.48
2022-04-27 15:25:18.6870,110571.57
2022-04-27 15:25:19.6530,110590.16
2022-04-27 15:25:20.6250,110590.16
2022-04-27 15:25:21.5930,109121.0
2022-04-27 15:25:22.5670,107062.89
2022-04-27 15:25:23.5320,104985.44
2022-04-27 15:25:24.5030,102890.62
2022-04-27 15:25:25.4720,100798.64
2022-04-27 15:25:26.4440,99957.89
2022-04-27 15:25:27.4140,99956.25
2022-04-27 15:25:28.3830,99956.25
