time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P(Pa)
2022-04-27 11:44:30.4470,-0.088,-0.972,-0.332,-0.18,0.35,-0.08,0.08,0.13,0.05,100352.196
2022-04-27 11:44:30.4570,-0.125,-0.957,-0.34,0.25,0.22,0.01,0.07,0.1,0.07,100352.196
2022-04-27 11:44:30.4670,-0.118,-0.968,-0.352,0.34,0.23,0.11,0.09,0.09,0.08,100352.196
2022-04-27 11:44:30.4770,-0.099,-0.958,-0.364,0.14,0.3,0.26,0.08,0.07,0.06,100352.196
2022-04-27 11:44:30.4870,-0.087,-0.925,-0.375,0.0,-0.06,0.37,0.11,0.09,0.02,100352.196
2022-04-27 11:44:30.4970,-0.078,-0.939,-0.375,-0.09,-0.1,0.43,0.11,0.09,0.02,100352.196
2022-04-27 11:44:30.5070,-0.08,-0.955,-0.365,-0.15,0.12,0.37,0.12,0.2,0.02,100352.196
2022-04-27 11:44:30.5170,-0.109,-0.946,-0.367,0.09,0.12,0.32,0.11,0.22,-0.02,100352.196
2022-04-27 11:44:30.5270,-0.109,-0.951,-0.369,0.23,0.01,0.4,0.14,0.25,-0.03,100352.196
2022-04-27 11:44:30.5360,-0.107,-0.974,-0.348,0.19,0.31,0.28,0.14,0.25,-0.03,100352.196
2022-04-27 11:44:30.5460,-0.111,-0.961,-0.334,0.2,0.19,0.08,0.22,0.29,-0.07,100352.196
2022-04-27 11:44:30.5560,-0.126,-0.993,-0.342,0.36,0.42,0.1,0.25,0.3,-0.13,100352.196
2022-04-27 11:44:30.5660,-0.121,-0.973,-0.351,0.42,0.4,0.24,0.29,0.27,-0.14,100352.196
2022-04-27 11:44:30.5760,-0.088,-0.922,-0.373,0.21,0.02,0.39,0.33,0.23,-0.13,100352.196
2022-04-27 11:44:30.5870,-0.085,-0.876,-0.397,-0.07,-0.5,0.68,0.4,0.22,-0.34,100352.196
2022-04-27 11:44:30.5960,-0.104,-0.778,-0.383,0.45,-2.05,0.68,0.44,0.22,-0.21,100352.196
2022-04-27 11:44:30.6060,0.053,-1.174,-0.357,-0.86,1.22,0.55,0.44,0.22,-0.21,100352.196
2022-04-27 11:44:30.6160,-0.114,-1.0,-0.339,-0.26,1.54,0.29,0.35,0.16,-0.08,100352.196
2022-04-27 11:44:30.6270,-0.205,-0.874,-0.366,1.22,-0.49,0.56,0.36,-0.06,0.03,100352.196
2022-04-27 11:44:30.6360,-0.133,-0.96,-0.349,0.72,-0.35,0.52,0.4,0.01,0.12,100352.196
2022-04-27 11:44:30.6460,-0.088,-1.152,-0.305,0.43,1.31,0.21,0.38,0.03,0.25,100352.196
2022-04-27 11:44:30.6560,-0.119,-1.07,-0.302,0.19,1.79,0.01,0.43,0.06,0.2,100352.196
2022-04-27 11:44:30.6660,-0.103,-0.951,-0.325,0.54,0.21,0.24,0.51,0.05,0.17,100352.196
2022-04-27 11:44:30.6760,-0.017,-0.964,-0.341,-0.33,-0.05,0.48,0.62,0.06,0.16,100352.196
2022-04-27 11:44:30.6860,-0.008,-1.003,-0.335,-0.72,0.34,0.58,0.7,0.09,0.17,100352.196
2022-04-27 11:44:30.6960,-0.02,-1.016,-0.318,-0.62,0.52,0.45,0.7,0.09,0.17,100352.196
2022-04-27 11:44:30.7060,-0.037,-1.02,-0.32,-0.49,0.62,0.52,0.76,0.08,0.15,100352.196
2022-04-27 11:44:30.7150,-0.037,-0.97,-0.293,-0.39,0.29,0.43,0.79,0.14,0.13,100352.196
2022-04-27 11:44:30.7260,-0.016,-0.912,-0.273,-0.57,-0.31,0.23,0.79,0.14,0.13,100352.196
2022-04-27 11:44:30.7360,0.002,-0.855,-0.279,-0.79,-0.88,0.28,0.89,0.08,0.17,100352.196
2022-04-27 11:44:30.7450,0.023,-0.784,-0.263,-0.95,-1.5,0.37,0.92,-0.03,0.22,100352.196
2022-04-27 11:44:30.7550,0.033,-0.729,-0.232,-1.23,-2.25,0.1,0.96,-0.08,0.24,100352.196
2022-04-27 11:44:30.7650,0.04,-0.681,-0.204,-1.18,-2.74,-0.05,0.99,-0.23,0.2,100352.196
2022-04-27 11:44:30.7750,0.036,-0.781,-0.163,-1.22,-2.58,-0.33,0.99,-0.23,0.2,100352.196
2022-04-27 11:44:30.7850,0.042,-0.89,-0.076,-1.36,-0.83,-0.77,0.85,-0.25,0.15,100352.196
2022-04-27 11:44:30.7950,0.066,-0.774,0.016,-1.42,-1.63,-1.89,0.73,-0.28,0.19,100352.196
2022-04-27 11:44:30.8050,0.141,-0.752,-0.04,-2.0,-2.12,-1.67,0.61,-0.41,0.31,100352.196
2022-04-27 11:44:30.8150,0.154,-0.788,-0.08,-2.69,-2.27,-1.06,0.55,-0.43,0.39,100352.196
2022-04-27 11:44:30.8250,0.07,-0.893,-0.035,-2.06,-1.09,-1.11,0.55,-0.43,0.39,100352.196
2022-04-27 11:44:30.8360,-0.025,-0.831,0.002,-1.18,-0.93,-1.57,0.27,-0.23,0.09,100352.196
2022-04-27 11:44:30.8450,0.071,-0.887,-0.026,-1.13,-1.76,-1.69,0.27,-0.23,0.09,100352.196
2022-04-27 11:44:30.8550,0.197,-0.91,-0.082,-2.88,0.1,-0.85,0.14,-0.15,0.31,100352.196
2022-04-27 11:44:30.8650,0.092,-0.493,-0.099,-2.56,-3.48,-0.84,0.22,-0.14,0.21,100352.196
2022-04-27 11:44:30.8750,-0.021,-0.428,-0.269,-1.33,-5.51,0.44,0.22,-0.14,0.21,100352.196
2022-04-27 11:44:30.8850,-0.073,-0.51,-0.248,-0.56,-4.97,1.26,0.37,-0.12,-0.04,100352.196
2022-04-27 11:44:30.8950,-0.053,-0.61,-0.21,-0.54,-4.0,0.44,0.37,-0.12,-0.04,100352.196
2022-04-27 11:44:30.9040,-0.021,-0.703,-0.265,-0.92,-3.08,1.1,0.55,-0.22,-0.19,100352.196
2022-04-27 11:44:30.9150,-0.066,-0.82,-0.19,-0.69,-2.07,0.75,0.55,-0.22,-0.19,100352.196
2022-04-27 11:44:30.9250,-0.015,-0.931,-0.152,-0.71,-0.89,0.28,0.54,-0.25,-0.23,100352.196
2022-04-27 11:44:30.9340,0.001,-1.029,-0.077,-1.19,0.04,-0.29,0.44,-0.38,-0.24,100352.196
2022-04-27 11:44:30.9440,-0.001,-1.108,-0.075,-1.03,1.02,-0.63,0.32,-0.38,-0.24,100352.196
2022-04-27 11:44:30.9550,0.054,-1.109,-0.121,-1.39,1.23,-0.23,0.24,-0.49,-0.24,100352.196
2022-04-27 11:44:30.9640,0.084,-1.086,-0.155,-1.88,1.12,0.19,0.07,-0.52,-0.23,100352.196
2022-04-27 11:44:30.9740,0.058,-1.01,-0.179,-1.74,0.48,0.48,-0.03,-0.59,-0.24,100352.196
2022-04-27 11:44:30.9840,0.016,-1.012,-0.181,-1.4,0.17,0.61,-0.03,-0.59,-0.24,100352.196
2022-04-27 11:44:30.9940,-0.066,-1.029,-0.133,-0.7,0.34,0.32,-0.08,-0.6,-0.29,100352.196
2022-04-27 11:44:31.0040,-0.123,-1.051,-0.045,0.07,0.59,-0.45,-0.3,-0.55,-0.35,100352.196
2022-04-27 11:44:31.0140,-0.149,-1.039,-0.013,0.4,0.52,-1.05,-0.5,-0.47,-0.28,100352.196
2022-04-27 11:44:31.0240,-0.161,-1.035,-0.03,0.57,0.48,-1.21,-0.5048884749412537,-0.57,-0.3,100352.196
2022-04-27 11:44:31.0340,-0.15,-1.146,-0.132,0.72,0.93,-0.35,-0.5,-0.57,-0.3,100352.196
2022-04-27 11:44:31.0440,-0.099,-1.308,-0.15,0.13,2.73,0.08,-0.43,-0.6,-0.23,100352.196
2022-04-27 11:44:31.0540,-0.155,-1.343,-0.195,0.34,3.37,0.26,-0.39,-0.55,-0.17,100352.196
2022-04-27 11:44:31.0640,-0.2,-1.47,-0.239,1.04,4.3,0.87,-0.22,-0.33,-0.29,100352.196
