time,P
2022-04-29 17:28:12.0340,99951.2
2022-04-29 17:28:12.9900,99953.08
2022-04-29 17:28:13.9630,99958.12
2022-04-29 17:28:14.8970,99964.06
2022-04-29 17:28:15.8500,99965.09
2022-04-29 17:28:16.8030,99965.09
2022-04-29 17:28:17.7590,99964.94
2022-04-29 17:28:18.7160,99955.06
2022-04-29 17:28:19.6620,99955.06
2022-04-29 17:28:20.6240,99966.87
2022-04-29 17:28:21.5770,100023.99
2022-04-29 17:28:22.5280,100048.29
2022-04-29 17:28:23.4790,100050.24
2022-04-29 17:28:24.4280,100050.24
2022-04-29 17:28:25.3920,100037.26
2022-04-29 17:28:26.3380,99988.49
2022-04-29 17:28:27.2910,99988.49
2022-04-29 17:28:28.2430,100118.61
2022-04-29 17:28:29.1960,100271.22
2022-04-29 17:28:30.1630,100449.25
2022-04-29 17:28:31.1050,100639.11
2022-04-29 17:28:32.0560,100791.47
2022-04-29 17:28:33.0090,100853.96
2022-04-29 17:28:33.9620,100888.67
2022-04-29 17:28:34.9160,100906.21
2022-04-29 17:28:35.8690,100916.56
2022-04-29 17:28:36.8240,100966.76
2022-04-29 17:28:37.7750,101244.8
2022-04-29 17:28:38.7300,101734.78
2022-04-29 17:28:39.6830,102397.0
2022-04-29 17:28:40.6330,103382.4
2022-04-29 17:28:41.5950,104837.97
2022-04-29 17:28:42.5410,106451.61
2022-04-29 17:28:43.4950,108122.92
2022-04-29 17:28:44.4490,109642.76
2022-04-29 17:28:45.4020,110869.48
2022-04-29 17:28:46.3690,111600.14
2022-04-29 17:28:47.3080,111961.77
2022-04-29 17:28:48.2590,112018.8
2022-04-29 17:28:49.2160,112036.91
2022-04-29 17:28:50.1670,112058.11
2022-04-29 17:28:51.1410,112080.56
2022-04-29 17:28:52.0800,112105.61
2022-04-29 17:28:53.0270,112136.4
2022-04-29 17:28:53.9810,112163.39
2022-04-29 17:28:54.9340,112181.93
2022-04-29 17:28:55.8870,112193.92
2022-04-29 17:28:56.8410,112206.44
2022-04-29 17:28:57.7980,112208.64
2022-04-29 17:28:58.7520,112208.68
2022-04-29 17:28:59.6990,112208.68
2022-04-29 17:29:00.6580,112199.52
2022-04-29 17:29:01.6110,112079.35
2022-04-29 17:29:02.5730,111739.72
2022-04-29 17:29:03.5180,111084.38
2022-04-29 17:29:04.4650,110138.5
2022-04-29 17:29:05.4210,109023.3
2022-04-29 17:29:06.3740,107696.82
2022-04-29 17:29:07.3420,106389.57
2022-04-29 17:29:08.2770,105190.8
2022-04-29 17:29:09.2310,104119.38
2022-04-29 17:29:10.1830,103114.64
2022-04-29 17:29:11.1360,102408.68
2022-04-29 17:29:12.0890,101895.5
2022-04-29 17:29:13.0420,101578.79
2022-04-29 17:29:14.0020,101435.38
2022-04-29 17:29:14.9480,101426.86
2022-04-29 17:29:15.9010,101407.38
2022-04-29 17:29:16.8530,101397.8
2022-04-29 17:29:17.8050,101394.65
2022-04-29 17:29:18.7750,101377.73
2022-04-29 17:29:19.7100,101377.73
2022-04-29 17:29:20.6660,101408.94
2022-04-29 17:29:21.6210,101449.78
2022-04-29 17:29:22.5700,101484.63
2022-04-29 17:29:23.5220,101529.5
2022-04-29 17:29:24.4740,101580.11
2022-04-29 17:29:25.4350,101621.94
2022-04-29 17:29:26.3810,101645.81
2022-04-29 17:29:27.3330,101645.81
2022-04-29 17:29:28.2850,101635.43
2022-04-29 17:29:29.2390,101462.66
2022-04-29 17:29:30.2070,101145.64
2022-04-29 17:29:31.1440,100797.34
2022-04-29 17:29:32.0960,100456.53
2022-04-29 17:29:33.0480,100143.66
2022-04-29 17:29:34.0020,99972.72
2022-04-29 17:29:34.9550,99933.33
2022-04-29 17:29:35.9050,99933.33
2022-04-29 17:29:36.8660,99940.5
2022-04-29 17:29:37.8110,99945.17
2022-04-29 17:29:38.7640,99946.74
2022-04-29 17:29:39.7150,99946.74
